,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
0,2003,30,182,1910,32,182
1,305,32,183,2944,29,181
2,2601,31,183,524,32,183
3,646,30,186,131,29,184
4,1544,30,182,189,31,183
5,920,31,181,153,32,182
6,393,32,186,471,31,180
7,860,30,184,4110,31,180
8,831,30,180,2303,30,184
9,2631,30,184,1199,31,186
10,153,31,184,2631,30,184
11,524,32,183,393,32,187
12,1910,32,182,860,31,183
13,471,30,180,305,31,182
14,2944,31,183,646,31,187
15,920,31,182,1199,32,183
16,189,31,184,2003,30,181
17,131,30,184,831,29,181
18,2303,30,185,2601,30,185
19,4110,30,180,1544,29,183
20,471,32,182,4110,30,179
21,646,31,185,153,30,185
22,831,29,182,1199,31,183
23,305,30,182,860,31,183
24,131,30,184,920,31,182
25,2631,30,184,1910,32,182
26,2601,31,182,1544,29,182
27,393,33,187,189,31,184
28,2944,29,182,2003,31,181
29,2303,30,184,524,32,183
30,4110,30,181,2944,30,181
31,1544,29,182,2303,30,185
32,920,30,180,305,30,181
33,2003,31,181,471,31,181
34,1910,32,183,2601,31,183
35,860,31,183,393,32,187
36,189,31,183,2631,30,186
37,524,32,184,646,32,184
38,153,30,183,831,29,184
39,1199,33,185,131,30,184
40,471,32,179,860,31,183
41,646,31,186,920,31,182
42,2944,30,182,524,31,183
43,831,29,182,189,30,183
44,305,31,182,4110,30,179
45,131,30,184,1910,31,182
46,393,33,187,1199,33,185
47,2303,30,185,153,30,184
48,2601,32,182,2003,30,181
49,2631,31,184,1544,30,182
0,1199,33,185,2303,29,185
1,189,31,182,2601,30,183
2,524,31,183,131,30,183
3,4110,30,180,646,30,187
4,920,31,182,2631,31,184
5,1544,29,182,471,32,181
6,153,31,184,305,31,181
7,1910,32,181,2944,30,182
8,860,31,183,831,29,182
9,2003,31,180,393,32,187
10,131,31,182,2303,29,184
11,189,31,184,920,31,182
12,2631,31,185,646,32,184
13,1199,33,184,153,31,182
14,471,32,180,1910,32,182
15,393,33,187,305,31,182
16,2601,30,185,4110,30,179
17,2003,29,180,860,29,183
18,1544,29,183,524,31,183
19,831,29,181,2944,30,181
20,2944,30,182,2631,31,185
21,524,31,183,1199,33,184
22,646,31,182,2601,31,184
23,4110,30,179,189,30,184
24,2303,29,184,471,31,182
25,153,31,182,131,30,186
26,305,31,181,2003,30,181
27,860,31,182,1544,29,183
28,920,31,183,831,29,181
29,1910,32,184,393,32,186
30,1199,32,184,860,31,181
31,2601,31,185,305,31,181
32,189,31,186,471,30,182
33,4110,31,179,524,31,183
34,831,29,181,646,31,182
35,131,31,183,2631,31,184
36,153,31,181,1910,33,183
37,920,32,183,393,32,187
38,1544,29,182,2003,31,179
39,2303,29,183,2944,30,182
40,2631,30,185,2303,30,184
41,646,30,184,1199,32,182
42,2003,31,179,153,30,186
43,2944,31,182,131,31,183
44,305,31,182,189,31,184
45,393,33,187,4110,30,180
46,471,31,181,2601,31,184
47,860,31,181,920,31,181
48,1910,31,183,1544,30,179
49,524,31,184,831,30,181
0,189,31,184,1910,32,183
1,153,31,185,860,31,181
2,831,30,181,471,31,181
3,920,31,181,524,31,184
4,131,31,183,393,33,186
5,1199,31,183,2944,30,182
6,2303,29,184,646,29,185
7,4110,31,179,2003,31,180
8,1544,29,181,305,30,181
9,2601,30,185,2631,30,185
10,2003,31,180,2303,30,185
11,524,31,184,153,30,184
12,646,30,184,1544,30,179
13,1910,32,183,4110,30,179
14,471,31,181,131,31,184
15,393,32,186,2601,30,185
16,2944,30,179,920,31,181
17,2631,30,185,831,30,182
18,305,30,181,1199,32,185
19,860,31,181,189,32,184
20,1199,31,185,1910,32,183
21,646,31,186,189,32,184
22,2631,30,185,860,31,183
23,2303,29,184,393,32,187
24,831,30,182,305,30,181
25,153,31,182,471,31,181
26,2944,30,182,2601,30,184
27,920,30,182,1544,31,181
28,524,31,184,2003,30,180
29,131,31,184,4110,31,178
30,1910,32,182,2303,30,184
31,860,31,181,646,30,187
32,393,32,186,831,29,183
33,305,30,183,2631,30,187
34,2601,31,184,153,31,182
35,2003,31,180,131,31,183
36,471,31,181,524,31,184
37,4110,31,178,920,30,184
38,1544,28,180,1199,31,184
39,189,32,184,2944,29,183
40,2601,30,183,831,29,182
41,189,31,184,153,31,185
42,1544,28,180,131,31,186
43,860,31,182,2944,30,180
44,305,31,183,2303,30,185
45,1910,31,182,524,31,184
46,393,32,186,646,30,185
47,2003,31,180,2631,30,187
48,471,31,179,920,31,182
49,4110,30,180,1199,29,183
50,1199,31,183,2601,30,185
51,524,32,185,305,31,182
52,646,29,186,471,31,179
53,2303,30,184,189,30,183
54,153,32,182,393,32,186
55,131,30,183,860,31,184
56,831,29,182,1910,31,182
57,920,30,185,2003,31,179
58,2944,30,183,1544,27,182
59,2631,30,185,4110,30,178
60,524,32,185,189,32,184
61,646,29,186,305,32,184
62,131,30,183,2601,30,181
63,920,31,183,1910,32,182
64,831,29,180,1544,29,180
65,153,31,183,4110,31,179
66,1199,31,183,2003,31,180
67,2631,29,186,471,31,180
68,2944,29,180,393,33,185
69,2303,30,182,860,31,182
70,1910,31,182,646,31,185
71,2601,31,182,920,29,183
72,2003,30,178,831,28,182
73,860,31,183,524,31,184
74,305,32,185,131,31,183
75,189,32,183,1199,31,182
76,4110,31,180,2303,30,183
77,393,32,186,2631,31,183
78,471,31,180,2944,30,182
79,1544,29,180,153,32,182
80,2003,30,178,2944,30,182
81,1544,30,181,2601,30,181
82,189,30,184,393,33,186
83,920,30,183,131,30,186
84,153,31,182,646,30,185
85,1199,32,184,831,31,179
86,860,31,182,305,32,183
87,4110,31,178,471,30,180
88,524,31,184,2303,29,185
89,1910,32,183,2631,30,185
90,2303,30,184,920,29,184
91,2631,31,186,524,31,183
92,131,30,184,189,30,184
93,471,29,180,1199,31,182
94,305,30,183,1910,31,182
95,393,33,187,1544,27,184
96,2601,31,184,860,31,183
97,2944,29,181,153,31,182
98,831,29,183,4110,31,179
99,646,30,186,2003,30,179
0,831,29,181,860,31,183
1,2944,29,182,1910,31,184
2,2601,31,182,189,29,185
3,305,31,183,153,30,182
4,471,29,180,1544,30,181
5,131,31,185,524,31,183
6,2631,30,183,920,29,182
7,646,30,186,4110,30,181
8,393,33,186,2003,29,179
9,2303,29,185,1199,31,183
10,860,31,181,471,30,181
11,189,30,183,831,29,180
12,524,31,183,2944,29,182
13,1910,32,183,131,30,184
14,1544,28,184,2631,30,184
15,1199,31,185,393,32,186
16,153,30,183,2303,30,185
17,920,30,181,646,30,186
18,4110,31,179,305,30,184
19,2003,29,179,2601,30,184
20,646,30,186,524,31,184
21,831,30,180,153,30,185
22,2601,31,184,1910,30,182
23,131,31,184,1199,31,183
24,305,30,183,920,30,181
25,393,33,187,860,31,181
26,2303,29,184,1544,30,182
27,471,29,180,2003,28,181
28,2944,29,182,4110,30,180
29,2631,30,185,189,29,182
30,860,31,185,2601,30,182
31,189,31,184,131,30,183
32,524,31,183,2631,31,184
33,1544,29,181,393,33,187
34,1199,31,183,471,29,180
35,2003,30,180,646,31,187
36,1910,30,182,305,31,184
37,4110,30,179,831,29,183
38,920,29,182,2303,29,185
39,153,31,185,2944,28,183
40,153,31,185,2003,30,181
41,1199,31,182,646,31,186
42,131,30,185,2944,29,183
43,920,30,181,860,31,183
44,1544,31,181,1910,30,182
45,831,29,183,524,31,183
46,2601,30,184,471,29,180
47,189,31,184,305,32,184
48,4110,30,179,393,32,187
49,2303,30,185,2631,31,184
0,524,31,182,4110,31,179
1,2631,30,185,131,30,187
2,1910,31,182,153,31,185
3,393,33,188,920,29,182
4,860,31,182,1199,31,182
5,471,29,180,189,31,184
6,2003,31,181,1544,30,182
7,646,31,186,831,30,181
8,2944,29,181,2303,30,185
9,305,32,185,2601,31,181
10,2303,30,185,2003,31,181
11,189,31,183,860,31,183
12,1199,32,183,305,32,185
13,1544,30,182,646,30,187
14,153,31,184,524,31,182
15,4110,30,179,1910,30,181
16,131,30,183,471,29,180
17,831,30,181,2631,31,184
18,920,29,183,2944,28,182
19,2601,31,182,393,33,187
20,1910,30,181,189,30,183
21,524,32,182,920,29,182
22,2944,29,182,1199,32,182
23,860,31,182,153,31,184
24,393,32,187,131,30,185
25,471,30,181,831,30,181
26,305,32,184,1544,29,181
27,646,29,186,2303,29,184
28,2631,30,187,2601,30,182
29,2003,31,182,4110,30,180
30,524,32,182,1544,29,182
31,920,29,182,189,30,183
32,1910,31,183,471,30,182
33,153,32,184,1199,31,182
34,2303,29,184,131,30,185
35,305,32,185,393,33,187
36,2944,29,182,831,29,181
37,860,31,182,2003,30,182
38,4110,30,180,2601,31,181
39,646,30,186,2631,30,186
40,2631,30,184,2944,29,181
41,1544,31,183,860,31,183
42,1199,32,183,524,32,182
43,831,30,181,920,29,182
44,393,32,187,1910,31,182
45,131,30,183,153,32,184
46,2601,31,183,646,30,186
47,2003,29,182,305,32,184
48,471,30,183,2303,30,183
49,189,30,182,4110,29,179
0,189,31,182,1544,31,182
1,471,29,182,393,33,186
2,131,30,184,646,30,184
3,2944,29,183,309,32,184
4,524,32,183,2601,31,184
5,153,31,184,920,29,183
6,1910,31,182,2003,28,183
7,2303,30,184,831,30,181
8,4110,29,180,860,31,182
9,1199,30,182,2631,29,185
10,646,31,185,2944,29,181
11,1199,31,184,920,29,183
12,2631,31,184,153,32,184
13,831,30,181,131,30,183
14,309,32,185,471,29,180
15,860,31,184,1910,32,182
16,393,33,186,524,31,181
17,1544,31,183,4110,30,180
18,2003,30,181,189,31,182
19,2601,31,181,2303,30,184
20,1544,31,182,2944,30,182
21,189,31,182,2303,30,183
22,1910,31,181,831,30,181
23,860,31,183,131,30,183
24,471,31,179,646,30,185
25,309,32,185,524,31,182
26,393,33,186,153,31,184
27,4110,30,179,2631,31,185
28,2003,28,182,920,30,183
29,2601,31,183,1199,30,185
30,920,30,183,2601,31,183
31,646,31,186,860,31,183
32,524,32,183,1910,31,180
33,131,30,184,309,32,185
34,153,32,183,1544,32,182
35,2944,29,181,471,30,179
36,2303,30,184,4110,29,179
37,831,30,181,2003,28,182
38,2631,31,184,393,33,186
39,1199,30,185,189,31,183
40,860,31,181,2303,30,183
41,471,30,179,2631,29,185
42,1910,29,182,920,30,183
43,393,33,186,2944,30,181
44,309,32,185,646,31,186
45,189,31,182,524,32,183
46,2003,30,181,1199,30,185
47,4110,29,179,153,31,184
48,1544,32,182,831,30,183
49,2601,31,181,131,30,185
50,2944,29,181,189,31,183
51,646,31,186,1910,29,183
52,524,32,183,860,31,181
53,920,30,184,471,29,181
54,831,30,181,393,33,186
55,131,30,184,1544,31,181
56,153,31,184,2601,31,183
57,1199,30,184,4110,29,180
58,2631,31,185,2003,27,182
59,2303,30,185,309,31,184
60,860,31,181,2631,31,185
61,189,31,182,646,31,186
62,471,30,180,153,31,185
63,393,33,186,2303,30,183
64,309,32,185,831,29,183
65,1910,27,181,1199,29,182
66,1544,30,182,920,30,185
67,4110,30,179,131,30,183
68,2601,31,184,2944,29,180
69,2003,28,181,524,31,183
70,524,31,183,471,29,181
71,646,30,185,393,33,186
72,2631,31,181,309,30,183
73,920,30,183,4110,30,181
74,1199,30,182,1544,31,182
75,2944,29,181,860,30,184
76,2303,30,181,1910,32,184
77,831,30,181,2601,30,184
78,131,30,182,2003,29,182
79,153,32,182,189,30,183
